Var1,Var2,Freq
TRUE,RNO,1
NA,RNO,0
FALSE,ROC,0
TRUE,ROC,11
NA,ROC,0
FALSE,RST,0
TRUE,RST,10
NA,RST,0
FALSE,RSW,0
TRUE,RSW,147
NA,RSW,0
FALSE,SAT,0
TRUE,SAT,42
NA,SAT,0
FALSE,SAV,0
TRUE,SAV,56
NA,SAV,0
FALSE,SBN,0
TRUE,SBN,4
NA,SBN,0
FALSE,SCE,0
TRUE,SCE,1
NA,SCE,0
FALSE,SDF,0
TRUE,SDF,54
NA,SDF,0
FALSE,SEA,0
TRUE,SEA,9
NA,SEA,0
FALSE,SFO,0
TRUE,SFO,5
NA,SFO,0
FALSE,SGF,0
TRUE,SGF,6
NA,SGF,0
FALSE,SHV,0
TRUE,SHV,32
NA,SHV,0
FALSE,SJC,0
TRUE,SJC,8
NA,SJC,0
FALSE,SJU,1
TRUE,SJU,23
NA,SJU,0
FALSE,SLC,0
TRUE,SLC,227
NA,SLC,0
FALSE,SLN,0
TRUE,SLN,1
NA,SLN,0
FALSE,SMF,0
TRUE,SMF,19
NA,SMF,0
FALSE,SPI,0
TRUE,SPI,2
NA,SPI,0
FALSE,SPS,0
TRUE,SPS,7
NA,SPS,0
FALSE,SRQ,0
TRUE,SRQ,39
NA,SRQ,0
FALSE,STL,0
TRUE,STL,52
NA,STL,0
FALSE,STT,0
TRUE,STT,1
NA,STT,0
FALSE,SUX,0
TRUE,SUX,1
NA,SUX,0
FALSE,SWF,0
TRUE,SWF,1
NA,SWF,0
FALSE,SYR,0
TRUE,SYR,19
NA,SYR,0
FALSE,TLH,0
TRUE,TLH,14
NA,TLH,0
FALSE,TOL,0
TRUE,TOL,2
NA,TOL,0
FALSE,TPA,0
TRUE,TPA,153
NA,TPA,0
FALSE,TRI,0
TRUE,TRI,3
NA,TRI,0
FALSE,TUL,0
TRUE,TUL,71
NA,TUL,0
FALSE,TUS,0
TRUE,TUS,12
NA,TUS,0
FALSE,TVC,0
TRUE,TVC,2
NA,TVC,0
FALSE,TWF,0
TRUE,TWF,2
NA,TWF,0
FALSE,TXK,0
TRUE,TXK,1
NA,TXK,0
FALSE,TYS,0
TRUE,TYS,29
NA,TYS,0
FALSE,XNA,0
TRUE,XNA,9
NA,XNA,0
FALSE,NA,2392312
TRUE,NA,0
NA,NA,0
